2024-04-26 00:38:13,812 INFO    StreamThr :4084916 [internal.py:wandb_internal():86] W&B internal server running at pid: 4084916, started at: 2024-04-26 00:38:13.810314
2024-04-26 00:38:13,817 DEBUG   HandlerThread:4084916 [handler.py:handle_request():146] handle_request: status
2024-04-26 00:38:13,819 INFO    WriterThread:4084916 [datastore.py:open_for_write():87] open: /home/nlp/matan_avitan/git/rep-to-string-counterfactuals/wandb/run-20240426_003813-e3e9lgim/run-e3e9lgim.wandb
2024-04-26 00:38:13,826 DEBUG   SenderThread:4084916 [sender.py:send():382] send: header
2024-04-26 00:38:13,829 DEBUG   SenderThread:4084916 [sender.py:send():382] send: run
2024-04-26 00:38:14,421 INFO    SenderThread:4084916 [dir_watcher.py:__init__():211] watching files in: /home/nlp/matan_avitan/git/rep-to-string-counterfactuals/wandb/run-20240426_003813-e3e9lgim/files
2024-04-26 00:38:14,422 INFO    SenderThread:4084916 [sender.py:_start_run_threads():1136] run started: e3e9lgim with start time 1714081093.810946
2024-04-26 00:38:14,441 DEBUG   HandlerThread:4084916 [handler.py:handle_request():146] handle_request: check_version
2024-04-26 00:38:14,442 DEBUG   SenderThread:4084916 [sender.py:send_request():409] send_request: check_version
2024-04-26 00:38:14,669 DEBUG   HandlerThread:4084916 [handler.py:handle_request():146] handle_request: run_start
2024-04-26 00:38:17,559 DEBUG   HandlerThread:4084916 [system_info.py:__init__():27] System info init
2024-04-26 00:38:17,559 DEBUG   HandlerThread:4084916 [system_info.py:__init__():42] System info init done
2024-04-26 00:38:17,559 INFO    HandlerThread:4084916 [system_monitor.py:start():194] Starting system monitor
2024-04-26 00:38:17,561 INFO    HandlerThread:4084916 [system_monitor.py:probe():214] Collecting system info
2024-04-26 00:38:17,561 INFO    SystemMonitor:4084916 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-26 00:38:17,563 INFO    SystemMonitor:4084916 [interfaces.py:start():190] Started cpu monitoring
2024-04-26 00:38:17,566 INFO    SystemMonitor:4084916 [interfaces.py:start():190] Started disk monitoring
2024-04-26 00:38:17,569 INFO    SystemMonitor:4084916 [interfaces.py:start():190] Started gpu monitoring
2024-04-26 00:38:17,574 INFO    SystemMonitor:4084916 [interfaces.py:start():190] Started memory monitoring
2024-04-26 00:38:17,576 INFO    SystemMonitor:4084916 [interfaces.py:start():190] Started network monitoring
